family,label,p_old,p_new,_merge,p_diff,sig_old,sig_new,sig_flip,known_fisher_noise
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt6,0.8445192674729399,0.8445192674729399,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt7,0.7744140625,0.7744140625,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt8,1.0,1.0,both,0.0,False,False,False,False
stats.between_scenario_likert,[benefit_loss] scenario Wilcoxon,0.2976153382654104,0.296753464090144,both,0.0008618741752663972,False,False,False,False
stats.between_scenario_likert,[effort] scenario Wilcoxon,0.4867008544722148,0.48536524435392436,both,0.00133561011829042,False,False,False,False
stats.between_scenario_likert,[protection] scenario Wilcoxon,0.0006110686987829347,0.0006075185848985796,both,3.5501138843551305e-06,True,True,False,False
stats.method_switching,[method switching] Stuart-Maxwell,0.3929611268254054,0.3929611268254071,both,1.7208456881689926e-15,False,False,False,False
verify.expectation,[less] made invisible,0.1463,0.1439,both,0.0024000000000000132,False,False,False,True
verify.expectation,[less] not ref. current,0.4372,0.4372,both,0.0,False,False,False,True
verify.expectation,[less] not ref. future,0.9893,0.9893,both,0.0,False,False,False,True
verify.expectation,[less] not sure,0.4394,0.4316,both,0.007800000000000029,False,False,False,True
verify.expectation,[less] not used for training,0.2656,0.2506,both,0.015000000000000013,False,False,False,True
verify.expectation,[less] other,0.4815,0.4694,both,0.0121,False,False,False,True
verify.expectation,[less] permanently deleted,0.7261,0.7261,both,0.0,False,False,False,True
verify.expectation,[more] made invisible,0.1211,0.1283,both,0.007199999999999998,False,False,False,True
verify.expectation,[more] not ref. current,0.0077,0.0077,both,0.0,True,True,False,True
verify.expectation,[more] not ref. future,0.0295,0.0295,both,0.0,True,True,False,True
verify.expectation,[more] not sure,1.0,1.0,both,0.0,False,False,False,True
verify.expectation,[more] not used for training,0.3965,0.3991,both,0.002599999999999991,False,False,False,True
verify.expectation,[more] other,0.4854,0.4815,both,0.0039000000000000146,False,False,False,True
verify.expectation,[more] permanently deleted,0.6299,0.6299,both,0.0,False,False,False,True
verify.verification,[less] asked new convo,0.001,0.0007,both,0.00030000000000000003,True,True,False,True
verify.verification,[less] asked same convo,0.0003,0.0003,both,0.0,True,True,False,True
verify.verification,[less] checked UI,0.61,0.6213,both,0.011299999999999977,False,False,False,True
verify.verification,[less] checked settings,0.0746,0.0733,both,0.0012999999999999956,False,False,False,True
verify.verification,[less] did NOT know how,0.0011,0.0011,both,0.0,True,True,False,True
verify.verification,[less] did NOT want to,0.4839,0.4915,both,0.007599999999999996,False,False,False,True
verify.verification,[less] other,0.3465,0.3564,both,0.00990000000000002,False,False,False,True
verify.verification,[less] privacy-portal request,0.6474,0.6503,both,0.0029000000000000137,False,False,False,True
verify.verification,[more] asked new convo,0.2635,0.2637,both,0.00019999999999997797,False,False,False,True
verify.verification,[more] asked same convo,0.0048,0.0045,both,0.0002999999999999999,True,True,False,True
verify.verification,[more] checked UI,0.2134,0.2059,both,0.007500000000000007,False,False,False,True
verify.verification,[more] checked settings,0.0055,0.0068,both,0.0013,True,True,False,True
verify.verification,[more] did NOT know how,0.0437,0.0437,both,0.0,True,True,False,True
verify.verification,[more] did NOT want to,0.8949,0.8971,both,0.0021999999999999797,False,False,False,True
verify.verification,[more] other,0.6582,0.6602,both,0.0020000000000000018,False,False,False,True
verify.verification,[more] privacy-portal request,0.1911,0.1994,both,0.008300000000000002,False,False,False,True
willingness.by_method,[less] willingness by method KW,0.3585655065261566,0.3585655065261566,both,0.0,False,False,False,False
willingness.by_method,[more] willingness by method KW,0.16313295485160914,0.16313295485160914,both,0.0,False,False,False,False
willingness.scenario_shift,[scenario shift] willingness,1.211294014914133e-05,1.1979468170544063e-05,both,1.3347197859726608e-07,True,True,False,False
